t,shareI,Tl,Tc,Tr,G,rB,Gap,B
73,0.4502,0.08247,0.0646788971474268,0.0222849,0.07,-0.479248460188129,-0.534112457335556,-18.1437311073581
74,0.452,0.0822,0.0646607323557366,0.022374,0.07,-0.493433573475644,-0.547920305831381,-18.6778435646936
75,0.459,0.08115,0.0645900914991638,0.0227205,0.07,-0.507959197610035,-0.560978789109199,-19.225763870525
76,0.4598,0.08103,0.0645820182584126,0.0227601,0.07,-0.522860337452027,-0.57571225571044,-19.7867426596342
77,0.4604,0.08094,0.0645759633278493,0.0227898,0.07,-0.538116613403005,-0.590842776730854,-20.3624549153446
78,0.4554,0.08169,0.0646264210825441,0.0225423,0.07,-0.553773578001302,-0.607547699083846,-20.9532976920755
79,0.4566,0.08151,0.0646143112214174,0.0226017,0.07,-0.56984202946586,-0.623364640687277,-21.5608453911593
80,0.457,0.08145,0.0646102746010418,0.0226215,0.07,-0.586364784925693,-0.639803559526735,-22.1842100318466
81,0.4532,0.08202,0.0646486224946098,0.0224334,0.07,-0.60331769501969,-0.6575529175143,-22.8240135913734
82,0.4486,0.08271,0.0646950436289291,0.0222057,0.07,-0.620717674926341,-0.67591701855527,-23.4815665088877
83,0.4542,0.08187,0.0646385309436709,0.0224829,0.07,-0.638600363107651,-0.692625994051322,-24.1574835274429
84,0.4622,0.08067,0.0645577985361591,0.0228789,0.07,-0.656982478002612,-0.709331376538771,-24.8501095214942
85,0.461,0.08085,0.0645699083972859,0.0228195,0.07,-0.675819007121381,-0.728419415518667,-25.559440898033
86,0.4602,0.08097,0.0645779816380371,0.0227799,0.07,-0.695109852749157,-0.747877934387194,-26.2878603135517
87,0.463,0.08055,0.064549725295408,0.0229185,0.07,-0.714919813173595,-0.767101038469003,-27.0357382479389
88,0.462,0.0807,0.0645598168463469,0.022869,0.07,-0.735258963897594,-0.787649780743941,-27.8028392864079
89,0.4616,0.08076,0.0645638534667225,0.0228492,0.07,-0.75612090262392,-0.808595556090642,-28.5904890671518
90,0.4536,0.08196,0.0646445858742343,0.0224532,0.07,-0.777541681165009,-0.831693067039243,-29.3990846232425
91,0.459,0.08115,0.0645900914991638,0.0227205,0.07,-0.799532097159243,-0.852551688658407,-30.2307776902817
92,0.4578,0.08133,0.0646022013602906,0.0226611,0.07,-0.822150668812218,-0.875421770172509,-31.0833293789401
93,0.449,0.08265,0.0646910070085535,0.0222255,0.07,-0.845336507701597,-0.90045201471015,-31.9587511491126
94,0.4536,0.08196,0.0646445858742343,0.0224532,0.07,-0.869144317120654,-0.923295702994888,-32.8592031638228
95,0.4462,0.08307,0.0647192633511826,0.0220869,0.07,-0.893632844465594,-0.949335207816776,-33.7824988668177
96,0.4508,0.08238,0.0646728422168634,0.0223146,0.07,-0.918742624554801,-0.973480866771664,-34.7318340746344
97,0.4486,0.08271,0.0646950436289291,0.0222057,0.07,-0.944560570226918,-0.999759913855847,-35.7053149414061
98,0.4396,0.08406,0.0647858675873798,0.0217602,0.07,-0.971035176798138,-1.02812084438552,-36.7050748552619
99,0.4532,0.08202,0.0646486224946098,0.0224334,0.07,-0.998224463499567,-1.05245968599418,-37.7331956996475
100,0.4626,0.08061,0.0645537619157835,0.0228987,0.07,-1.02618504885041,-1.07845011076619,-38.7856553856416
101,0.466,0.0801,0.064519450642591,0.023067,0.07,-1.05480754886026,-1.10635999950285,-39.8641054964078
102,0.4624,0.08064,0.0645557802259713,0.0228888,0.07,-1.08413687968102,-1.13644385990699,-40.9704654959107
103,0.4614,0.08079,0.0645658717769103,0.0228393,0.07,-1.11422524270155,-1.16674181447846,-42.1069093558177
104,0.46,0.081,0.0645799999482249,0.02277,0.07,-1.14513176085542,-1.19794176080364,-43.2736511702961
105,0.4584,0.08124,0.0645961464297272,0.0226908,0.07,-1.17686225660819,-1.23000760303792,-44.4715929310998
106,0.4578,0.08133,0.0646022013602906,0.0226611,0.07,-1.20944126036169,-1.26271236172198,-45.7016005341377
107,0.4506,0.08241,0.0646748605270512,0.0223047,0.07,-1.24289232086176,-1.29767248138881,-46.9643128958597
